scenario,geometry,metric,mean,sd,q05,q50,q95
benign_long_run,hybrid_dendritic,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,nearest_web,graph_edges,46.750000,1.422226,44.550000,47.000000,48.000000
costly_movement,nearest_web,total_corridor_length,6.692702,0.458983,6.004129,6.648601,7.298649
costly_movement,nearest_web,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,nearest_web,persistent_species_per_length,0.875185,0.083642,0.761095,0.872819,1.001431
costly_movement,nearest_web,final_mean_occupancy,0.543403,0.029924,0.493056,0.552083,0.582639
costly_movement,nearest_web,recent_evenness,0.876110,0.040777,0.817403,0.880411,0.925053
costly_movement,nearest_web,recent_regional_total,3441.356241,189.007756,3113.275581,3488.878972,3682.802314
costly_movement,nearest_web,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,nearest_web,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,nearest_web,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,nearest_web,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,minimum_spanning_tree,graph_edges,23.000000,0.000000,23.000000,23.000000,23.000000
costly_movement,minimum_spanning_tree,total_corridor_length,2.624492,0.151482,2.437467,2.581080,2.869876
costly_movement,minimum_spanning_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,minimum_spanning_tree,persistent_species_per_length,2.229372,0.197580,1.913446,2.264479,2.461575
costly_movement,minimum_spanning_tree,final_mean_occupancy,0.544560,0.028626,0.503819,0.548611,0.579514
costly_movement,minimum_spanning_tree,recent_evenness,0.876355,0.040507,0.817583,0.880906,0.924214
costly_movement,minimum_spanning_tree,recent_regional_total,3439.879034,190.459828,3107.177821,3485.521266,3681.444920
costly_movement,minimum_spanning_tree,recent_regional_total_cv,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,recent_relative_trend_per_1000_steps,-0.000000,0.000000,-0.000000,0.000000,0.000000
costly_movement,minimum_spanning_tree,quasi_stationary_flag,1.000000,0.000000,1.000000,1.000000,1.000000
costly_movement,minimum_spanning_tree,species_extinctions,0.166667,0.389249,0.000000,0.000000,1.000000
costly_movement,dendritic_tree,graph_edges,38.000000,0.000000,38.000000,38.000000,38.000000
costly_movement,dendritic_tree,total_corridor_length,4.688672,0.400456,4.104977,4.769673,5.178100
costly_movement,dendritic_tree,failed_edges,0.000000,0.000000,0.000000,0.000000,0.000000
costly_movement,dendritic_tree,final_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,long_run_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,recent_persistent_species,5.833333,0.389249,5.000000,6.000000,6.000000
costly_movement,dendritic_tree,persistent_species_per_length,1.251085,0.122515,1.080698,1.236721,1.437452
costly_movement,dendritic_tree,final_mean_occupancy,0.540509,0.027593,0.496875,0.545139,0.576389
costly_movement,dendritic_tree,recent_evenness,0.875660,0.041237,0.816655,0.882540,0.925366
costly_movement,dendritic_tree,recent_regional_total,3423.887277,186.920339,3095.832332,3468.505252,3663.138916
