replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
2.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,4.088546,0.000000,12.000000,12.000000,12.000000,2.935029,0.511667,0.911171,10139.445177,0.000000,0.000000,1.000000,0.000000,
2.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.673639,0.000000,12.000000,12.000000,12.000000,1.563795,0.503333,0.909559,10156.624373,0.000000,0.000000,1.000000,0.000000,
2.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,8.116065,0.000000,12.000000,12.000000,12.000000,1.478549,0.505000,0.909605,10164.372683,0.000000,0.000000,1.000000,0.000000,
2.000000,costly_movement,nearest_web,50.000000,50.000000,103.000000,10.957047,0.000000,12.000000,12.000000,12.000000,1.095186,0.506667,0.911090,10073.843843,0.000000,0.000000,1.000000,0.000000,
2.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,4.088546,0.000000,12.000000,12.000000,12.000000,2.935029,0.506667,0.912130,10064.299221,0.000000,0.000000,1.000000,0.000000,
2.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,7.673639,0.000000,12.000000,12.000000,12.000000,1.563795,0.503333,0.910895,10061.431893,0.000000,0.000000,1.000000,0.000000,
2.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,8.116065,0.000000,12.000000,12.000000,12.000000,1.478549,0.501667,0.910762,10077.676417,0.000000,0.000000,1.000000,0.000000,
2.000000,edge_disturbance,nearest_web,50.000000,50.000000,103.000000,10.957047,0.000000,12.000000,12.000000,12.000000,1.095186,0.508333,0.910667,10108.223458,0.000000,0.000000,1.000000,0.000000,
2.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,4.088546,0.000000,12.000000,12.000000,12.000000,2.935029,0.508333,0.911710,10097.131070,0.000000,0.000000,1.000000,0.000000,
2.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,7.673639,0.000000,12.000000,12.000000,12.000000,1.563795,0.503333,0.910352,10102.953891,0.000000,0.000000,1.000000,0.000000,
2.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,8.116065,0.000000,12.000000,12.000000,12.000000,1.478549,0.501667,0.910309,10115.779351,0.000000,0.000000,1.000000,0.000000,
